pici_id	radius	function	mean	variance	skew	kurtosis
SPECTRUM-OV-014-1 IO	60	count	5.28486646884273	19.906981658727297	1.3589063418794134	2.4318598643325036
SPECTRUM-OV-067 RA-2	60	count	0.7372639828998931	3.798622083145234	5.534183223222526	44.97073436053621
SPECTRUM-OV-082 IO	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-003-1 LO	60	count	0.8883696780893042	3.92990627247622	3.0580571733825956	10.22479598970328
SPECTRUM-OV-053 RUQ	60	count	3.014589811049988	34.48555609220903	2.7787825005701676	8.752575926829262
SPECTRUM-OV-031 LA	60	count	0.014652507057400187	0.01443781109433302	8.078525658661537	63.26257681765277
SPECTRUM-OV-037 LO	60	count	0.2736584279670452	0.3791302142125365	2.66130976185913	8.098696010620806
SPECTRUM-OV-003 P	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-036 IO	60	count	1.3129770992366412	3.671129304819066	2.0480645833368203	4.702446592013343
SPECTRUM-OV-007 IO	60	count	1.4609786311551565	2.7275730280351658	1.497715118646571	2.362531808210387
SPECTRUM-OV-007 RFT	60	count	2.4071223021582733	8.688855747632111	2.907088857012889	14.44735032274512
SPECTRUM-OV-051 IO	60	count	0.2533978346003225	1.5879434190139705	9.518405760721263	128.73021268034864
SPECTRUM-OV-051 UT	60	count	0.20176767676767676	0.6196433399653097	4.759466245989189	25.10540874788714
SPECTRUM-OV-014-1 LO	60	count	0.8066202090592335	1.4382140125532663	1.9879009533305951	4.781812393411041
SPECTRUM-OV-050 RO	60	count	0.19855199648968846	0.29603125124546553	3.031558474595044	9.285175156924431
SPECTRUM-OV-049 RO	60	count	0.4199213630406291	0.8821195219944723	3.2979999991282134	15.112933627389971
SPECTRUM-OV-036 PP	60	count	1.773193234238852	11.562346492132594	2.918257685023347	10.620412577981742
SPECTRUM-OV-026 LFT	60	count	2.331877729257642	8.716640287815514	2.2150945226458325	6.523430612003642
SPECTRUM-OV-077 IO-2	60	count	0.16795698924731184	0.30877969707480635	4.218161617733663	20.239319370395755
SPECTRUM-OV-042-1 RUQ-3	60	count	0.03406408094435076	0.060559705843042363	9.743305649024256	114.2590166078319
SPECTRUM-OV-036 LO	60	count	2.625835189309577	6.89563543831628	1.359099832827174	2.105112918861754
SPECTRUM-OV-065 RA	60	count	0.062388591800356503	0.19842495416575315	8.465713514101203	77.88727022792443
SPECTRUM-OV-067 BO	60	count	0.0011737089201877935	0.0011723313275584651	29.13762473312009	847.0011750881317
SPECTRUM-OV-054 RA	60	count	5.522824814670308	96.30410251593514	2.9186867272779864	9.944691444179337
SPECTRUM-OV-007 LO	60	count	6.317426273458445	14.810768711052333	0.670888610647202	0.18422925041956617
SPECTRUM-OV-009 PP	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-022 RA	60	count	0.36137750653879686	1.0869302733562936	4.24711931914319	22.358879436855887
SPECTRUM-OV-050 IO	60	count	0.5189065313471927	3.4370709274233753	7.685939270235662	74.9668328179234
SPECTRUM-OV-025 RFT	60	count	0.2141982864137087	0.2368608321635263	2.7587275676285636	10.277654663906178
SPECTRUM-OV-024 IO	60	count	0.17949330783938813	0.2916349249074139	3.7662332754906624	16.639995112398005
SPECTRUM-OV-028-1 IO	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-003 LA	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-008 BO	60	count	6.4988523335883706	38.40225576013801	1.0104100852575475	0.3912667734395643
SPECTRUM-OV-002 RA	60	count	0.0073760200878844944	0.01454069790581755	22.281971229877556	648.4222757062402
SPECTRUM-OV-052 IO	60	count	0.040598905845090696	0.05709057134346162	6.704310583245035	50.04484642550767
SPECTRUM-OV-077 BO	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-007 BO	60	count	6.241660348749052	18.63511809237016	1.2939214632393052	2.8338216894533037
SPECTRUM-OV-052-1 IO-3	60	count	21.390432098765434	145.81104014250874	0.4473525564586167	-0.4351613579018312
SPECTRUM-OV-004 RA-2	60	count	0.2847606332252527	1.3720870445536328	6.611487447595143	54.26361341395398
SPECTRUM-OV-083 IO-3	60	count	0.1851393188854489	0.2969927824478333	3.76962903609975	16.871814989052908
SPECTRUM-OV-002 IO	60	count	0.6032835089438863	2.61473070349918	3.98474676212214	20.055812957934226
SPECTRUM-OV-009 LO	60	count	0.15346181299072092	0.1313388366930728	1.9678063893452462	2.0345910976019193
SPECTRUM-OV-037 IO	60	count	0.10260168559912056	0.22252529425879308	7.142674482061022	71.75282932282306
SPECTRUM-OV-007 ABD	60	count	3.934564301911241	9.373107220274076	0.9695163795705837	0.6996450705250341
SPECTRUM-OV-042 PP	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-082 RA	60	count	0.05261099159006454	0.09873804875068896	7.013361660122568	53.58122142338017
SPECTRUM-OV-009 RO	60	count	0.08155186064924783	0.08915293614657759	3.8299826510361785	15.174408609063622
SPECTRUM-OV-085 IO-2	60	count	2.7052896725440805	14.100383438340028	3.674959712694573	19.945610226554233
SPECTRUM-OV-049 IO	60	count	0.8512087912087912	5.943355681680957	5.492629084595315	38.715948752793786
SPECTRUM-OV-003-1 RO	60	count	7.937329700272479	71.170459354513	0.8484261665151571	-0.34557964056408963
SPECTRUM-OV-014 RUQ	60	count	0.0	0.0	0.0	-3.0
SPECTRUM-OV-053 IO	60	count	3.708751793400287	18.754485816442266	1.5159728308764624	2.2352929768508547
SPECTRUM-OV-110 IO-2	60	count	0.44989273674532637	1.1754696483168439	3.33490039132045	12.72638958489521
